rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
8420	ADAM30	ADAM metallopeptidase domain 30	2377	4	14	0	6	0	0	1	7	7	7	4.456307e-01	1	9.450000e-01	8.058183e-01	1
8421	RSAD2	radical S-adenosyl methionine domain containing 2	1110	2	58	1	2	0	0	0	2	2	2	9.902922e-01	1	1.070000e-01	8.058189e-01	1
8422	SLC24A4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	1890	4	522	2	2	0	0	1	3	3	3	9.820160e-01	1	3.260000e-01	8.059835e-01	1
8423	BSND	Bartter syndrome, infantile, with sensorineural deafness (Barttin)	979	3	35	4	3	0	0	0	3	3	3	4.458830e-01	1	6.740000e-01	8.060221e-01	1
8424	POLB	polymerase (DNA directed), beta	1063	0	74	3	1	0	0	2	3	2	3	4.460680e-01	1	7.280000e-01	8.061715e-01	1
8425	ARPC5L	actin related protein 2/3 complex, subunit 5-like	477	19	25	1	3	0	0	0	3	3	3	9.934941e-01	1	3.680000e-01	8.061803e-01	1
8426	ARHGAP26	Rho GTPase activating protein 26	2535	2	1206	5	7	0	3	0	10	10	10	9.615130e-01	1	4.430000e-01	8.062313e-01	1
8427	MRPS18B	mitochondrial ribosomal protein S18B	819	10	23	3	1	0	0	0	1	1	1	8.062528e-01	NaN	NaN	8.062528e-01	1
8428	DUSP23	dual specificity phosphatase 23	468	6	12	0	1	0	0	0	1	1	1	8.062783e-01	NaN	NaN	8.062783e-01	1
8429	CCDC129	coiled-coil domain containing 129	3194	0	691	2	13	0	0	0	13	13	13	9.872036e-01	1	3.890000e-01	8.062910e-01	1
8430	FSD1L	fibronectin type III and SPRY domain containing 1-like	1738	0	277	3	2	0	0	0	2	2	2	9.702026e-01	1	3.100000e-01	8.063532e-01	1
8431	NUP85	nucleoporin 85kDa	2046	1	59	0	3	0	0	0	3	3	3	4.463707e-01	1	9.080000e-01	8.064158e-01	1
8432	PRDM14	PR domain containing 14	1752	0	85	3	2	0	0	0	2	2	2	9.518103e-01	1	2.750000e-01	8.064386e-01	1
8433	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	3030	0	190	1	4	0	1	0	5	5	5	8.045475e-01	1	4.690000e-01	8.065393e-01	1
8434	RND2	Rho family GTPase 2	734	5	12	0	1	0	0	0	1	1	1	8.066003e-01	NaN	NaN	8.066003e-01	1
8435	ARL16	ADP-ribosylation factor-like 16	802	8	13	2	1	0	0	0	1	1	1	8.067089e-01	NaN	NaN	8.067089e-01	1
8436	LCTL	lactase-like	1758	1	44	0	3	0	0	0	3	3	3	4.467364e-01	1	5.440000e-01	8.067106e-01	1
8437	CHD9	chromodomain helicase DNA binding protein 9	8794	3	698	7	10	4	0	2	16	16	16	9.800953e-01	1	3.530000e-01	8.068613e-01	1
8438	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15	2883	1	82	3	7	0	1	1	9	9	9	4.469619e-01	1	7.680000e-01	8.068922e-01	1
8439	GALC	galactosylceramidase	2185	0	154	1	7	0	2	0	9	8	9	4.471969e-01	1	7.850000e-01	8.070814e-01	1
8440	HP	haptoglobin	1247	1	26	4	4	0	0	0	4	4	4	4.473675e-01	1	8.390000e-01	8.072187e-01	1
8441	MAPK13	mitogen-activated protein kinase 13	1144	10	28	0	2	0	1	0	3	3	3	9.986727e-01	1	3.210000e-01	8.072491e-01	1
8442	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	494	0	164	0	2	0	0	0	2	2	2	9.601313e-01	1	3.400000e-01	8.072619e-01	1
8443	ZNF497	zinc finger protein 497	1516	0	18	3	3	0	0	0	3	3	3	4.476054e-01	1	4.290000e-01	8.074099e-01	1
8444	MPP1	membrane protein, palmitoylated 1, 55kDa	1460	3	54	0	1	0	0	1	2	2	2	7.412901e-01	1	4.720000e-01	8.075175e-01	1
8445	NIPAL2	NIPA-like domain containing 2	1151	0	229	0	2	0	0	0	2	2	2	7.680003e-01	1	4.110000e-01	8.075215e-01	1
8446	AKIRIN1	akirin 1	598	2	40	0	0	0	1	0	1	1	1	8.075606e-01	NaN	NaN	8.075606e-01	1
8447	ZCCHC14	zinc finger, CCHC domain containing 14	2901	1	314	4	8	0	2	0	10	9	10	4.478238e-01	1	5.140000e-01	8.075854e-01	1
8448	TLR5	toll-like receptor 5	2618	12	111	2	5	0	0	1	6	6	6	9.885941e-01	1	3.300000e-01	8.075930e-01	1
8449	PAK1IP1	PAK1 interacting protein 1	1224	3	33	1	1	0	0	0	1	1	1	8.078004e-01	NaN	NaN	8.078004e-01	1
8450	STRA6	stimulated by retinoic acid gene 6 homolog (mouse)	2145	2	73	4	2	1	0	0	3	3	3	8.208869e-01	1	3.740000e-01	8.078909e-01	1
8451	TADA1	transcriptional adaptor 1	1040	1	56	0	1	0	0	0	1	1	1	8.079280e-01	NaN	NaN	8.079280e-01	1
8452	KLHDC5	kelch domain containing 5	1530	3	60	6	3	0	0	2	5	5	5	4.482792e-01	1	9.280000e-01	8.079511e-01	1
8453	LAPTM4A	lysosomal-associated protein transmembrane 4 alpha	729	0	59	0	2	0	0	0	2	2	2	4.483036e-01	1	7.840000e-01	8.079707e-01	1
8454	ADAMTSL3	ADAMTS-like 3	5192	1	1384	6	17	0	1	1	19	19	19	9.558896e-01	3.520000e-01	5.220000e-01	8.079776e-01	1
8455	AKAP1	A kinase (PRKA) anchor protein 1	2759	3	86	1	4	0	0	0	4	4	4	9.941382e-01	1	4.250000e-01	8.080130e-01	1
8456	YARS	tyrosyl-tRNA synthetase	1644	0	114	1	0	1	0	0	1	1	1	8.080475e-01	NaN	NaN	8.080475e-01	1
8457	OR6X1	olfactory receptor, family 6, subfamily X, member 1	937	10	6	4	3	0	0	1	4	4	4	4.484674e-01	1	7.290000e-01	8.081020e-01	1
8458	ITGB7	integrin, beta 7	2468	0	24	5	5	0	0	0	5	5	5	4.485277e-01	1	5.740000e-01	8.081504e-01	1
8459	MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae)	1242	2	64	3	3	0	0	1	4	4	4	4.485550e-01	1	6.730000e-01	8.081723e-01	1
8460	IRF6	interferon regulatory factor 6	1448	5	56	3	3	0	1	0	4	4	4	4.485653e-01	1	7.350000e-01	8.081806e-01	1
8461	RASEF	RAS and EF-hand domain containing	2288	1	398	8	9	0	1	1	11	11	11	9.858919e-01	1	2.400000e-01	8.081930e-01	1
8462	SNAP23	synaptosomal-associated protein, 23kDa	671	3	87	1	0	0	1	0	1	1	1	8.082004e-01	NaN	NaN	8.082004e-01	1
8463	MCM3	minichromosome maintenance complex component 3	2494	2	64	3	6	0	1	0	7	7	7	4.487398e-01	1	9.420000e-01	8.083204e-01	1
8464	KRTCAP2	keratinocyte associated protein 2	1187	4	12	0	1	0	0	0	1	1	1	8.084215e-01	NaN	NaN	8.084215e-01	1
8465	LRP6	low density lipoprotein receptor-related protein 6	4930	1	493	4	15	1	1	1	18	17	18	9.050273e-01	1	2.380000e-01	8.084436e-01	1
8466	LRRC43	leucine rich repeat containing 43	2484	10	93	3	3	0	1	0	4	4	4	9.332804e-01	1	3.610000e-01	8.084551e-01	1
8467	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1014	1	55	2	1	0	0	0	1	1	1	8.084661e-01	NaN	NaN	8.084661e-01	1
8468	KCNRG	potassium channel regulator	1799	0	6	0	2	0	0	0	2	2	2	4.489545e-01	1	4.850000e-01	8.084924e-01	1
8469	UBE2U	ubiquitin-conjugating enzyme E2U (putative)	713	1	158	0	2	0	1	0	3	3	3	4.490601e-01	1	7.580000e-01	8.085769e-01	1
8470	RSAD1	radical S-adenosyl methionine domain containing 1	1364	0	12	0	2	0	0	0	2	2	2	4.491217e-01	1	7.060000e-01	8.086263e-01	1
8471	KRT77	keratin 77	1773	1	38	0	3	0	1	0	4	4	4	4.495685e-01	1	9.680000e-01	8.089837e-01	1
8472	MRPL46	mitochondrial ribosomal protein L46	1029	2	15	0	2	0	0	0	2	2	2	4.497567e-01	1	9.630000e-01	8.091341e-01	1
8473	C2CD4A	C2 calcium-dependent domain containing 4A	1122	0	18	1	5	0	0	0	5	5	5	4.498429e-01	1	8.580000e-01	8.092030e-01	1
8474	ZNF620	zinc finger protein 620	1293	4	32	1	4	0	0	0	4	4	4	4.499412e-01	1	9.230000e-01	8.092815e-01	1
8475	UMPS	uridine monophosphate synthetase	1466	1	41	0	3	0	0	0	3	3	3	4.500255e-01	1	7.480000e-01	8.093488e-01	1
8476	TMEM216	transmembrane protein 216	471	0	35	0	1	0	0	0	1	1	1	8.093759e-01	NaN	NaN	8.093759e-01	1
8477	ZGPAT	zinc finger, CCCH-type with G patch domain	1898	0	79	0	1	0	1	0	2	2	2	7.982050e-01	1	2.300000e-01	8.094782e-01	1
8478	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	1346	0	440	2	2	0	0	0	2	2	2	9.499729e-01	1	3.480000e-01	8.095577e-01	1
8479	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	1126	1	21	0	3	0	0	0	3	3	3	9.079430e-01	1	3.850000e-01	8.095996e-01	1
8480	ZCCHC2	zinc finger, CCHC domain containing 2	3589	0	164	8	7	0	1	0	8	8	8	6.918827e-01	1	5.420000e-01	8.096601e-01	1
8481	GPR44	G protein-coupled receptor 44	1202	4	19	3	1	1	0	0	2	2	2	6.682997e-01	1	5.970000e-01	8.096748e-01	1
8482	DUSP19	dual specificity phosphatase 19	668	0	68	0	2	0	0	0	2	2	2	4.504750e-01	1	9.240000e-01	8.097075e-01	1
8483	ZNF223	zinc finger protein 223	1473	1	68	1	4	0	0	0	4	4	4	6.710696e-01	1	6.300000e-01	8.100930e-01	1
8484	ANXA8	annexin A8	2075	0	871	2	5	0	1	1	7	7	7	8.101309e-01	NaN	NaN	8.101309e-01	1
8485	HPGDS	hematopoietic prostaglandin D synthase	621	0	180	0	1	0	0	0	1	1	1	8.101385e-01	NaN	NaN	8.101385e-01	1
8486	NEB	nebulin	26407	0	556	13	50	2	2	0	54	50	53	9.980187e-01	3.890000e-01	7.560000e-01	8.102090e-01	1
8487	EFHA1	EF-hand domain family, member A1	1351	0	299	0	4	0	0	2	6	5	6	4.511127e-01	1	8.240000e-01	8.102156e-01	1
8488	TMEM37	transmembrane protein 37	580	1	26	0	2	0	0	0	2	2	2	4.511681e-01	1	6.670000e-01	8.102597e-01	1
8489	ACTG2	actin, gamma 2, smooth muscle, enteric	1171	0	73	1	2	0	0	1	3	3	3	4.512467e-01	1	1.710000e-01	8.103223e-01	1
8490	OR52L1	olfactory receptor, family 52, subfamily L, member 1	994	0	17	0	2	0	0	0	2	2	2	9.790057e-01	1	4.570000e-01	8.103818e-01	1
8491	SRPX2	sushi-repeat-containing protein, X-linked 2	1440	1	80	5	4	0	1	0	5	4	5	4.514424e-01	1	9.420000e-01	8.104779e-01	1
8492	SERPINE3	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3	1302	5	58	1	2	0	0	0	2	2	2	9.690984e-01	1	3.910000e-01	8.106031e-01	1
8493	TSTD2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	1617	3	70	4	2	0	1	0	3	3	3	4.516920e-01	1	5.230000e-01	8.106764e-01	1
8494	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	998	0	174	2	1	0	0	1	2	2	2	8.107050e-01	NaN	NaN	8.107050e-01	1
8495	TEKT1	tektin 1	1292	2	88	1	3	0	0	0	3	3	3	8.539756e-01	1	4.040000e-01	8.107249e-01	1
8496	HMSD	histocompatibility (minor) serpin domain containing	439	2	41	0	2	0	0	0	2	2	2	8.638331e-01	1	4.510000e-01	8.107500e-01	1
8497	ZNF101	zinc finger protein 101	1327	0	78	0	7	0	0	0	7	7	7	4.518264e-01	1	9.470000e-01	8.107832e-01	1
8498	PTGR1	prostaglandin reductase 1	1099	1	179	0	1	0	1	0	2	2	2	8.108542e-01	NaN	NaN	8.108542e-01	1
8499	ILF2	interleukin enhancer binding factor 2, 45kDa	1229	8	26	0	0	0	1	0	1	1	1	8.109652e-01	NaN	NaN	8.109652e-01	1
8500	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	1022	0	68	0	2	0	0	0	2	2	2	4.520574e-01	1	7.950000e-01	8.109666e-01	1
8501	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	12526	0	1731	17	39	2	7	5	53	47	53	9.743287e-01	1	2.110000e-01	8.109913e-01	1
8502	MAPK15	mitogen-activated protein kinase 15	1689	1	23	3	4	0	0	0	4	4	4	4.520944e-01	1	7.080000e-01	8.109960e-01	1
8503	MICB	MHC class I polypeptide-related sequence B	1176	0	38	1	1	0	0	0	1	1	1	8.110047e-01	NaN	NaN	8.110047e-01	1
8504	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1	1149	0	1183	0	7	0	3	0	10	10	10	9.986273e-01	1	2.130000e-01	8.112212e-01	1
8505	EIF3J	eukaryotic translation initiation factor 3, subunit J	808	1	89	1	0	0	0	1	1	1	1	8.112239e-01	NaN	NaN	8.112239e-01	1
8506	KRTAP9-2	keratin associated protein 9-2	528	0	11	1	1	0	0	0	1	1	1	8.112719e-01	NaN	NaN	8.112719e-01	1
8507	PANK2	pantothenate kinase 2 (Hallervorden-Spatz syndrome)	1752	0	139	1	5	0	1	1	7	7	7	4.524756e-01	1	9.360000e-01	8.112985e-01	1
8508	ZNF781	zinc finger protein 781	1011	6	74	1	2	0	0	0	2	2	2	9.607809e-01	1	4.270000e-01	8.113398e-01	1
8509	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	755	0	47	0	1	0	0	0	1	1	1	8.114064e-01	NaN	NaN	8.114064e-01	1
8510	MCEE	methylmalonyl CoA epimerase	970	7	53	2	1	0	0	1	2	2	2	8.674734e-01	1	5.090000e-01	8.115723e-01	1
8511	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	4042	0	190	3	10	1	0	0	11	11	11	4.528252e-01	1	8.960000e-01	8.115756e-01	1
8512	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4716	2	538	7	6	0	2	1	9	9	9	9.279475e-01	1	2.980000e-01	8.115860e-01	1
8513	ENDOG	endonuclease G	907	2	11	0	2	0	0	0	2	2	2	4.528978e-01	1	9.000000e-01	8.116331e-01	1
8514	TECR	trans-2,3-enoyl-CoA reductase	975	7	101	2	3	0	0	0	3	3	3	8.326133e-01	1	4.590000e-01	8.116678e-01	1
8515	POMT1	protein-O-mannosyltransferase 1	2333	8	49	2	3	0	0	0	3	3	3	9.152759e-01	1	4.530000e-01	8.117627e-01	1
8516	SSNA1	Sjogren syndrome nuclear autoantigen 1	1197	7	4	0	1	0	0	0	1	1	1	8.117963e-01	NaN	NaN	8.117963e-01	1
8517	CHIC2	cysteine-rich hydrophobic domain 2	518	2	159	2	1	0	0	0	1	1	1	8.118328e-01	NaN	NaN	8.118328e-01	1
8518	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	2374	0	40	2	3	0	0	0	3	3	3	4.533231e-01	1	5.040000e-01	8.119698e-01	1
8519	WNK4	WNK lysine deficient protein kinase 4	3832	0	27	5	3	0	1	1	5	5	5	4.534764e-01	1	7.490000e-01	8.120910e-01	1
8520	PCGF5	polycomb group ring finger 5	804	2	144	1	1	0	1	0	2	2	2	4.534913e-01	1	9.970000e-01	8.121027e-01	1
8521	RHOXF1	Rhox homeobox family, member 1	565	1	13	1	2	0	0	0	2	2	2	4.537012e-01	1	8.210000e-01	8.122687e-01	1
8522	DDIT3	DNA-damage-inducible transcript 3	540	7	20	0	1	0	0	0	1	1	1	8.123007e-01	NaN	NaN	8.123007e-01	1
8523	HHAT	hedgehog acyltransferase	1637	0	1387	2	3	0	1	0	4	4	4	9.995844e-01	1	4.490000e-01	8.123558e-01	1
8524	DNAI2	dynein, axonemal, intermediate chain 2	1884	4	143	0	5	0	0	0	5	5	5	9.717606e-01	1	2.570000e-01	8.123564e-01	1
8525	HK2	hexokinase 2	2826	0	167	4	6	0	1	0	7	7	7	4.539863e-01	1	6.080000e-01	8.124940e-01	1
8526	TBX4	T-box 4	1669	3	95	3	4	0	0	0	4	4	4	9.870668e-01	1	3.640000e-01	8.125448e-01	1
8527	PRHOXNB	parahox cluster neighbor	526	0	33	1	1	0	0	0	1	1	1	8.125699e-01	NaN	NaN	8.125699e-01	1
8528	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	2012	0	411	1	6	0	1	0	7	7	6	4.542222e-01	1	8.520000e-01	8.126801e-01	1
8529	RAB5B	RAB5B, member RAS oncogene family	957	0	39	0	2	0	0	0	2	2	2	4.542403e-01	1	2.440000e-01	8.126945e-01	1
8530	QTRT1	queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)	1252	1	43	0	1	0	1	0	2	2	2	8.127798e-01	NaN	NaN	8.127798e-01	1
8531	JAK2	Janus kinase 2 (a protein tyrosine kinase)	3492	0	419	1	7	2	1	0	10	10	10	4.543565e-01	1	4.430000e-01	8.127861e-01	1
8532	TRIM50	tripartite motif-containing 50	1879	7	46	2	4	0	0	1	5	4	5	9.330328e-01	1	4.020000e-01	8.128102e-01	1
8533	TMEM140	transmembrane protein 140	572	4	41	0	1	0	0	0	1	1	1	8.128490e-01	NaN	NaN	8.128490e-01	1
8534	C7orf63	chromosome 7 open reading frame 63	2914	3	227	1	7	0	0	0	7	7	7	9.587637e-01	1	4.220000e-01	8.128630e-01	1
8535	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	765	0	96	0	2	0	0	0	2	2	2	4.544886e-01	1	8.430000e-01	8.128903e-01	1
8536	CCDC124	coiled-coil domain containing 124	699	7	33	0	3	0	1	0	4	4	4	7.988230e-01	1	4.870000e-01	8.129232e-01	1
8537	BAT4	HLA-B associated transcript 4	1278	8	8	0	1	0	0	0	1	1	1	8.129292e-01	NaN	NaN	8.129292e-01	1
8538	COX7B	cytochrome c oxidase subunit VIIb	255	0	53	0	1	0	0	0	1	1	1	8.129339e-01	NaN	NaN	8.129339e-01	1
8539	HUWE1	HECT, UBA and WWE domain containing 1	13449	0	282	5	22	1	2	0	25	24	25	8.512451e-01	1	4.000000e-01	8.129505e-01	1
8540	MRPS28	mitochondrial ribosomal protein S28	575	1	274	1	3	0	0	0	3	3	3	4.546479e-01	1	9.070000e-01	8.130159e-01	1
8541	PEX3	peroxisomal biogenesis factor 3	1265	4	95	0	3	1	1	0	5	5	5	4.546856e-01	1	9.520000e-01	8.130457e-01	1
8542	TMEM132C	transmembrane protein 132C	3359	0	2160	7	19	1	0	1	21	20	21	9.995924e-01	1	3.340000e-01	8.131472e-01	1
8543	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	1516	0	1273	1	3	1	1	0	5	5	5	9.998772e-01	1	3.570000e-01	8.132493e-01	1
8544	NOX4	NADPH oxidase 4	1822	0	2294	4	7	0	0	0	7	7	7	1.000000e+00	1	2.580000e-01	8.132933e-01	1
8545	DPY19L2	dpy-19-like 2 (C. elegans)	2361	0	524	2	13	0	2	0	15	14	15	8.716588e-01	1	4.250000e-01	8.132979e-01	1
8546	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8	1507	13	127	2	4	0	0	0	4	4	4	9.539651e-01	1	4.390000e-01	8.133259e-01	1
8547	STRN4	striatin, calmodulin binding protein 4	2378	2	69	1	4	0	1	0	5	5	5	4.550485e-01	1	7.060000e-01	8.133315e-01	1
8548	CNTN2	contactin 2 (axonal)	3217	5	92	3	4	0	0	0	4	4	4	9.894193e-01	1	4.340000e-01	8.133979e-01	1
8549	VILL	villin-like	2645	4	35	2	4	0	1	0	5	5	5	4.553750e-01	1	6.540000e-01	8.135885e-01	1
8550	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	645	0	27	1	1	0	0	0	1	1	1	8.137917e-01	NaN	NaN	8.137917e-01	1
8551	HIP1R	huntingtin interacting protein 1 related	3333	0	60	1	5	0	1	0	6	6	6	4.556468e-01	1	8.040000e-01	8.138022e-01	1
8552	CELA3B	chymotrypsin-like elastase family, member 3B	843	5	31	1	3	0	0	0	3	3	3	4.556483e-01	1	6.400000e-01	8.138034e-01	1
8553	IPO8	importin 8	3210	1	171	1	7	0	2	0	9	9	9	4.556658e-01	1	8.270000e-01	8.138171e-01	1
8554	OR5C1	olfactory receptor, family 5, subfamily C, member 1	962	8	8	1	4	0	0	0	4	4	4	4.557547e-01	1	8.230000e-01	8.138870e-01	1
8555	OR52N4	olfactory receptor, family 52, subfamily N, member 4	970	0	6	0	1	0	0	0	1	1	1	8.139724e-01	NaN	NaN	8.139724e-01	1
8556	MATR3	matrin 3	2633	0	200	3	7	0	0	0	7	7	7	4.558729e-01	1	1	8.139799e-01	1
8557	EMP2	epithelial membrane protein 2	527	0	139	0	2	0	0	0	2	2	2	4.559807e-01	1	5.990000e-01	8.140645e-01	1
8558	SCD5	stearoyl-CoA desaturase 5	1217	4	499	0	2	0	0	0	2	2	2	9.891273e-01	1	6.300000e-02	8.140700e-01	1
8559	LINGO2	leucine rich repeat and Ig domain containing 2	1865	0	6102	0	14	0	0	0	14	14	14	1	1	2.960000e-01	8.140797e-01	1
8560	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	532	2	78	0	1	0	0	0	1	1	1	8.141398e-01	NaN	NaN	8.141398e-01	1
8561	MAP3K9	mitogen-activated protein kinase kinase kinase 9	3406	0	187	4	6	0	1	1	8	8	8	4.560936e-01	1	8.320000e-01	8.141531e-01	1
8562	CCDC106	coiled-coil domain containing 106	1381	1	21	2	0	0	0	2	2	2	2	6.839507e-01	1	4.790000e-01	8.142329e-01	1
8563	GIPC3	GIPC PDZ domain containing family, member 3	962	0	30	3	0	0	1	0	1	1	1	8.142892e-01	NaN	NaN	8.142892e-01	1
8564	NKX2-4	NK2 homeobox 4	1071	0	19	4	8	0	0	0	8	8	8	4.563219e-01	1	9.540000e-01	8.143324e-01	1
8565	SUCLG1	succinate-CoA ligase, alpha subunit	1073	0	107	0	3	0	0	0	3	3	3	4.563566e-01	1	9.430000e-01	8.143595e-01	1
8566	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	1956	2	67	1	0	0	0	2	2	2	2	8.644108e-01	1	4.650000e-01	8.144006e-01	1
8567	NQO2	NAD(P)H dehydrogenase, quinone 2	727	7	64	0	1	0	0	0	1	1	1	8.144157e-01	NaN	NaN	8.144157e-01	1
8568	FAM187B	family with sequence similarity 187, member B	1118	4	9	2	2	0	0	0	2	2	2	8.985142e-01	1	5.070000e-01	8.144291e-01	1
8569	CKMT1A	creatine kinase, mitochondrial 1A	1286	2	9	0	0	0	1	0	1	1	1	8.144509e-01	NaN	NaN	8.144509e-01	1
8570	BPIL3	bactericidal/permeability-increasing protein-like 3	1417	11	35	0	2	0	0	0	2	2	2	9.818095e-01	1	4.230000e-01	8.145045e-01	1
8571	GLIPR1L1	GLI pathogenesis-related 1 like 1	720	0	153	1	2	0	0	0	2	2	2	8.899604e-01	1	3.200000e-01	8.145110e-01	1
8572	ILF3	interleukin enhancer binding factor 3, 90kDa	2847	1	147	3	9	0	2	0	11	10	11	4.566642e-01	1	9.590000e-01	8.146008e-01	1
8573	INSL4	insulin-like 4 (placenta)	428	0	25	1	1	0	0	0	1	1	1	8.146175e-01	NaN	NaN	8.146175e-01	1
8574	C2orf7	chromosome 2 open reading frame 7	600	3	12	1	2	0	0	0	2	2	2	4.567635e-01	1	8.300000e-01	8.146786e-01	1
8575	SLC25A39	solute carrier family 25, member 39	1129	5	15	0	1	0	1	0	2	2	2	8.146854e-01	NaN	NaN	8.146854e-01	1
8576	LOXL2	lysyl oxidase-like 2	2383	1	289	1	2	0	0	0	2	2	2	9.866009e-01	1	2.250000e-01	8.147042e-01	1
8577	FAM36A	family with sequence similarity 36, member A	371	0	66	1	2	0	0	0	2	2	2	4.569213e-01	1	8.760000e-01	8.148022e-01	1
8578	LAP3	leucine aminopeptidase 3	1611	1	84	3	2	0	1	0	3	3	3	4.569762e-01	1	6.910000e-01	8.148452e-01	1
8579	TMPRSS3	transmembrane protease, serine 3	1503	0	70	2	4	0	0	0	4	4	4	4.570727e-01	1	8.840000e-01	8.149207e-01	1
8580	TSTA3	tissue specific transplantation antigen P35B	1013	2	21	2	1	0	0	0	1	1	1	8.149308e-01	NaN	NaN	8.149308e-01	1
8581	FAM132A	family with sequence similarity 132, member A	941	5	14	1	1	0	0	0	1	1	1	8.149645e-01	NaN	NaN	8.149645e-01	1
8582	KIF23	kinesin family member 23	2972	1	79	2	4	0	0	0	4	4	4	8.776689e-01	1	3.630000e-01	8.150717e-01	1
8583	MARVELD2	MARVEL domain containing 2	1972	0	64	1	4	0	0	0	4	4	4	4.576108e-01	1	6.160000e-01	8.153417e-01	1
8584	SORCS2	sortilin-related VPS10 domain containing receptor 2	4763	0	2094	9	21	0	5	1	27	27	27	4.577818e-01	1	9.120000e-01	8.154754e-01	1
8585	IL7	interleukin 7	555	0	206	0	1	0	0	0	1	1	1	8.155056e-01	NaN	NaN	8.155056e-01	1
8586	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	2368	1	60	2	6	0	1	0	7	7	7	4.578221e-01	1	7.100000e-01	8.155069e-01	1
8587	NMT1	N-myristoyltransferase 1	1544	4	113	1	4	0	0	0	4	4	4	4.578258e-01	1	5.930000e-01	8.155098e-01	1
8588	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	959	5	57	1	1	0	1	0	2	2	2	8.156680e-01	NaN	NaN	8.156680e-01	1
8589	LECT2	leukocyte cell-derived chemotaxin 2	471	9	27	0	0	0	0	1	1	1	1	8.157165e-01	NaN	NaN	8.157165e-01	1
8590	NODAL	nodal homolog (mouse)	1056	3	31	0	4	0	0	0	4	4	4	4.581865e-01	1	9.100000e-01	8.157915e-01	1
8591	TMEM111	transmembrane protein 111	818	0	60	1	1	0	0	0	1	1	1	8.159407e-01	NaN	NaN	8.159407e-01	1
8592	RIC3	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)	1132	0	209	0	1	0	0	2	3	3	3	4.583971e-01	1	5.670000e-01	8.159558e-01	1
8593	SRRM4	serine/arginine repetitive matrix 4	1887	1	792	4	10	1	0	1	12	12	11	8.766088e-01	3.760000e-01	5.290000e-01	8.160098e-01	1
8594	METTL2A	methyltransferase like 2A	1172	1	83	0	0	0	1	0	1	1	1	8.160135e-01	NaN	NaN	8.160135e-01	1
8595	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	1174	0	49	1	2	0	1	0	3	3	3	4.584727e-01	1	9.250000e-01	8.160147e-01	1
8596	XKR9	XK, Kell blood group complex subunit-related family, member 9	1229	2	219	1	3	1	0	0	4	4	4	4.586657e-01	1	6.590000e-01	8.161652e-01	1
8597	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	3183	2	77	3	7	0	0	0	7	7	7	4.588079e-01	1	9.460000e-01	8.162760e-01	1
8598	RELN	reelin	10639	0	2066	10	31	2	2	1	36	31	35	9.999621e-01	3.840000e-01	7.510000e-01	8.164121e-01	1
8599	SGMS1	sphingomyelin synthase 1	1306	0	884	1	2	0	0	0	2	2	2	9.935324e-01	1	3.690000e-01	8.164350e-01	1
8600	AES	amino-terminal enhancer of split	850	0	35	1	2	0	0	0	2	2	2	4.590825e-01	1	3.030000e-01	8.164899e-01	1
8601	ITFG1	integrin alpha FG-GAP repeat containing 1	1920	2	845	0	6	0	0	1	7	6	7	9.469533e-01	1	3.090000e-01	8.166376e-01	1
